5.7494 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [2560, 1440]. Using actual size
10.5289 	EXP 	grating: phase = 0.0
10.5289 	EXP 	grating: color = 0.8474459939970984
10.5626 	EXP 	grating: phase = 0.0
10.5626 	EXP 	grating: color = 0.9152884720024304
10.5957 	EXP 	grating: phase = 0.0
10.5957 	EXP 	grating: color = 0.981755738001084
10.6290 	EXP 	grating: phase = 0.0
10.6290 	EXP 	grating: color = 1
10.6629 	EXP 	grating: phase = 0.5
10.6629 	EXP 	grating: color = 1
10.6961 	EXP 	grating: phase = 0.5
10.6961 	EXP 	grating: color = 1
10.7286 	EXP 	grating: phase = 0.5
10.7286 	EXP 	grating: color = 1
10.7628 	EXP 	grating: phase = 0.5
10.7628 	EXP 	grating: color = 1
10.7963 	EXP 	grating: phase = 0.0
10.7963 	EXP 	grating: color = 1
10.8295 	EXP 	grating: phase = 0.0
10.8295 	EXP 	grating: color = 1
10.8624 	EXP 	grating: phase = 0.0
10.8624 	EXP 	grating: color = 1
10.8956 	EXP 	grating: phase = 0.5
10.8956 	EXP 	grating: color = 1
10.9296 	EXP 	grating: phase = 0.5
10.9296 	EXP 	grating: color = 1
10.9628 	EXP 	grating: phase = 0.5
10.9628 	EXP 	grating: color = 1
10.9954 	EXP 	grating: phase = 0.5
10.9954 	EXP 	grating: color = 1
11.0296 	EXP 	grating: phase = 0.0
11.0296 	EXP 	grating: color = 1
11.0624 	EXP 	grating: phase = 0.0
11.0624 	EXP 	grating: color = 1
11.0958 	EXP 	grating: phase = 0.0
11.0958 	EXP 	grating: color = 1
11.1291 	EXP 	grating: phase = 0.0
11.1291 	EXP 	grating: color = 1
11.1630 	EXP 	grating: phase = 0.5
11.1630 	EXP 	grating: color = 1
11.1960 	EXP 	grating: phase = 0.5
11.1960 	EXP 	grating: color = 1
11.2296 	EXP 	grating: phase = 0.5
11.2296 	EXP 	grating: color = 1
11.2634 	EXP 	grating: phase = 0.5
11.2634 	EXP 	grating: color = 1
11.2959 	EXP 	grating: phase = 0.0
11.2959 	EXP 	grating: color = 1
11.3299 	EXP 	grating: phase = 0.0
11.3299 	EXP 	grating: color = 1
11.3630 	EXP 	grating: phase = 0.0
11.3630 	EXP 	grating: color = 1
11.3962 	EXP 	grating: phase = 0.5
11.3962 	EXP 	grating: color = 1
11.4296 	EXP 	grating: phase = 0.5
11.4296 	EXP 	grating: color = 1
11.4634 	EXP 	grating: phase = 0.5
11.4634 	EXP 	grating: color = 1
11.4966 	EXP 	grating: phase = 0.5
11.4966 	EXP 	grating: color = 1
11.5303 	EXP 	grating: phase = 0.0
11.5303 	EXP 	grating: color = 1
11.5633 	EXP 	grating: phase = 0.0
11.5633 	EXP 	grating: color = 1
11.5964 	EXP 	grating: phase = 0.0
11.5964 	EXP 	grating: color = 1
11.6300 	EXP 	grating: phase = 0.0
11.6300 	EXP 	grating: color = 0.9504675540010794
11.6633 	EXP 	grating: phase = 0.5
11.6633 	EXP 	grating: color = 0.8834729559966945
11.6968 	EXP 	grating: phase = 0.5
11.6968 	EXP 	grating: color = 0.8167860120011028
11.7295 	EXP 	grating: phase = 0.5
11.7295 	EXP 	grating: color = 0.7494027360007749
11.7630 	EXP 	grating: phase = 0.5
11.7630 	EXP 	grating: color = 0.6822706219973043
11.7968 	EXP 	grating: phase = 0.0
11.7968 	EXP 	grating: color = 0.616426788001263
11.8298 	EXP 	grating: phase = 0.0
11.8298 	EXP 	grating: color = 0.5500564920002944
11.8629 	EXP 	grating: phase = 0.0
11.8629 	EXP 	grating: color = 0.4817879339971114
11.8969 	EXP 	grating: phase = 0.5
