instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,loop_practice.label,loop_practice.startVal,loop_practice.startValSd,loop_practice.stim_diam_degs,loop_practice.SF,loop_practice.TF,loop_practice.pThreshold,loop_practice.stepType,loop_practice.beta,loop_practice.delta,loop_practice.gamma,loop_practice.grain,loop_practice.minVal,loop_practice.maxVal,loop_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisN,loop_practice.direction,loop_practice.stepSize,loop_practice.intensity,loop_practice.response,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,loop_trial.label,loop_trial.startVal,loop_trial.startValSd,loop_trial.stim_diam_degs,loop_trial.SF,loop_trial.TF,loop_trial.pThreshold,loop_trial.stepType,loop_trial.beta,loop_trial.delta,loop_trial.gamma,loop_trial.grain,loop_trial.minVal,loop_trial.maxVal,loop_trial.thisIndex,loop_trial.thisRepN,loop_trial.thisN,loop_trial.direction,loop_trial.stepSize,loop_trial.intensity,loop_trial.response,ori,correctAns,resp,resp.rt,thanksMsg.started,thanksMsg.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,Gender,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,8,7,start,4,0.11304081402258853,1,90,"['left', 'right']",left,0.8120551111642271,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,9,8,start,4,0.0913380995102597,1,90,"['left', 'right']",left,0.9371954079251736,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,10,9,start,4,0.07094097006961395,1,90,"['left', 'right']",left,0.6649286649189889,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,11,10,start,4,0.05158608121187305,1,90,"['left', 'right']",left,0.6833455851301551,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,12,11,start,4,0.033062999937241044,1,0,"['up', 'down']",down,0.7102006659843028,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,13,12,start,4,0.015203954900492811,1,90,"['left', 'right']",left,0.8071360241156071,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,14,13,start,4,0,0,0,"['up', 'down']",left,2.524139244109392,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,15,14,start,4,0.06639192848194889,1,90,"['left', 'right']",left,1.3227737101260573,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,16,15,start,4,0.05429207961838203,1,0,"['up', 'down']",down,1.4819501040037721,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,0,1,0,17,16,start,4,0.04285899778419722,1,90,"['left', 'right']",left,0.9240253369789571,,,,,,,F,20191031114722,2019_Oct_31_1147,contrast_sensitivity_task,3.2.4,60.163965185303844,
