instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,loop_practice.label,loop_practice.startVal,loop_practice.startValSd,loop_practice.stim_diam_degs,loop_practice.SF,loop_practice.TF,loop_practice.pThreshold,loop_practice.stepType,loop_practice.beta,loop_practice.delta,loop_practice.gamma,loop_practice.grain,loop_practice.minVal,loop_practice.maxVal,loop_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisN,loop_practice.direction,loop_practice.stepSize,loop_practice.intensity,loop_practice.response,Gender,Participant,date,expName,psychopyVersion,frameRate,
16.019952522001404,None,space,0.5742199559972505,16.019952522001404,None,,,,,,,,,,,,,,,,,,,,,,f ,20191101153250,2019_Nov_01_1532,contrast_sensitivity_task,3.2.4,59.5219395431138,
,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,1,0,start,4,0.5,1,f ,20191101153250,2019_Nov_01_1532,contrast_sensitivity_task,3.2.4,59.5219395431138,
,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,2,1,start,4,0.49393288281885755,1,f ,20191101153250,2019_Nov_01_1532,contrast_sensitivity_task,3.2.4,59.5219395431138,
,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,3,2,start,4,0.45430437229992937,1,,,,,,,
