instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,loop_practice.label,loop_practice.startVal,loop_practice.startValSd,loop_practice.stim_diam_degs,loop_practice.SF,loop_practice.TF,loop_practice.pThreshold,loop_practice.stepType,loop_practice.beta,loop_practice.delta,loop_practice.gamma,loop_practice.grain,loop_practice.minVal,loop_practice.maxVal,loop_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisN,loop_practice.direction,loop_practice.stepSize,loop_practice.intensity,loop_practice.response,Gender,Participant,date,expName,psychopyVersion,frameRate,
13.18317053699866,None,space,0.4931748349990812,13.18317053699866,None,,,,,,,,,,,,,,,,,,,,,,f,20191101153359,2019_Nov_01_1534,contrast_sensitivity_task,3.2.4,60.06823078297278,
,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,1,0,start,4,0.5,1,f,20191101153359,2019_Nov_01_1534,contrast_sensitivity_task,3.2.4,60.06823078297278,
,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,2,1,start,4,0.49393288281885755,1,f,20191101153359,2019_Nov_01_1534,contrast_sensitivity_task,3.2.4,60.06823078297278,
,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,3,2,start,4,0.45430437229992937,1,f,20191101153359,2019_Nov_01_1534,contrast_sensitivity_task,3.2.4,60.06823078297278,
,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,4,3,start,4,0.4191776572267262,1,f,20191101153359,2019_Nov_01_1534,contrast_sensitivity_task,3.2.4,60.06823078297278,
,,,,,,sf_12_tf_4,0.5,0.2,3.5,12,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,5,4,start,4,0.3884336467408868,1,f,20191101153359,2019_Nov_01_1534,contrast_sensitivity_task,3.2.4,60.06823078297278,
