instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,loop_practice.label,loop_practice.startVal,loop_practice.startValSd,loop_practice.stim_diam_degs,loop_practice.SF,loop_practice.TF,loop_practice.stepSizes,loop_practice.maxVal,loop_practice.minVal,loop_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisN,loop_practice.direction,loop_practice.stepSize,loop_practice.stepType,loop_practice.intensity,loop_practice.response,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,loop_trial.label,loop_trial.startVal,loop_trial.startValSd,loop_trial.stim_diam_degs,loop_trial.SF,loop_trial.TF,loop_trial.stepSizes,loop_trial.maxVal,loop_trial.minVal,loop_trial.thisIndex,loop_trial.thisRepN,loop_trial.thisN,loop_trial.direction,loop_trial.stepSize,loop_trial.stepType,loop_trial.intensity,loop_trial.response,ori,correctAns,resp,resp.rt,thanksMsg.started,thanksMsg.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,Gender,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,22,21,start,4,lin,0.019180341472672224,0,90,"['left', 'right']",up,0.4860625499859452,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,23,22,start,4,lin,0.05175079247651451,1,90,"['left', 'right']",left,1.2158301109448075,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,24,23,start,4,lin,0.044471552617593,1,90,"['left', 'right']",left,0.6606985689140856,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,25,24,start,4,lin,0.037621227113659644,1,90,"['left', 'right']",left,0.6230421799700707,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,26,25,start,4,lin,0.03131324139549224,1,90,"['left', 'right']",left,0.9468039739876986,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,27,26,start,4,lin,0.02540745542184611,1,0,"['up', 'down']",up,0.9144208577927202,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,28,27,start,4,lin,0.019792417463157963,1,90,"['left', 'right']",left,0.9562068618834019,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,29,28,start,4,lin,0.014585530021593629,1,90,"['left', 'right']",left,1.274534384952858,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,30,29,start,4,lin,0.00944396349162066,1,0,"['up', 'down']",up,0.828165884129703,,,,,,,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.3876652061008,None,left,6.3290176631417125,456.3876652061008,None,male,20191031095411,2019_Oct_31_0955,contrast_sensitivity_task,3.2.4,59.94622265067279,
