instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,loop_practice.label,loop_practice.startVal,loop_practice.startValSd,loop_practice.stim_diam_degs,loop_practice.SF,loop_practice.TF,loop_practice.pThreshold,loop_practice.method,loop_practice.stepType,loop_practice.beta,loop_practice.delta,loop_practice.gamma,loop_practice.grain,loop_practice.minVal,loop_practice.maxVal,loop_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisN,loop_practice.direction,loop_practice.stepSize,loop_practice.intensity,loop_practice.response,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,loop_trial.label,loop_trial.startVal,loop_trial.startValSd,loop_trial.stim_diam_degs,loop_trial.SF,loop_trial.TF,loop_trial.pThreshold,loop_trial.method,loop_trial.stepType,loop_trial.beta,loop_trial.delta,loop_trial.gamma,loop_trial.grain,loop_trial.minVal,loop_trial.maxVal,loop_trial.thisIndex,loop_trial.thisRepN,loop_trial.thisN,loop_trial.direction,loop_trial.stepSize,loop_trial.intensity,loop_trial.response,ori,correctAns,resp,resp.rt,Gender,Participant,date,expName,psychopyVersion,frameRate,
19.508855984080583,None,space,0.48932659486308694,19.508855984080583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,20191031105124,2019_Oct_31_1051,contrast_sensitivity_task,3.2.4,59.90840110079366,
,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,1,0,start,4,0.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,20191031105124,2019_Oct_31_1051,contrast_sensitivity_task,3.2.4,59.90840110079366,
,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,2,1,start,4,0.24393288281885755,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,20191031105124,2019_Oct_31_1051,contrast_sensitivity_task,3.2.4,59.90840110079366,
,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,3,2,start,4,0.20430437229992937,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,20191031105124,2019_Oct_31_1051,contrast_sensitivity_task,3.2.4,59.90840110079366,
,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,4,3,start,4,0.16917765722672617,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,20191031105124,2019_Oct_31_1051,contrast_sensitivity_task,3.2.4,59.90840110079366,
,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,5,4,start,4,0.13843364674088682,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,20191031105124,2019_Oct_31_1051,contrast_sensitivity_task,3.2.4,59.90840110079366,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.63761936314404,None,space,0.9445284339599311,38.63761936314404,None,,,,,,,,,,,,,,,,,,,,,,,,,,,F,20191031105124,2019_Oct_31_1051,contrast_sensitivity_task,3.2.4,59.90840110079366,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,1,0,start,4,0.25,1,0,"['up', 'down']",up,0.664035429013893,F,20191031105124,2019_Oct_31_1051,contrast_sensitivity_task,3.2.4,59.90840110079366,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,2,1,start,4,0.24393288281885755,1,0,"['up', 'down']",up,0.8348251360002905,F,20191031105124,2019_Oct_31_1051,contrast_sensitivity_task,3.2.4,59.90840110079366,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,3,2,start,4,0.20430437229992937,1,90,"['left', 'right']",right,1.310524116968736,F,20191031105124,2019_Oct_31_1051,contrast_sensitivity_task,3.2.4,59.90840110079366,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,4,3,start,4,0.16917765722672617,1,90,"['left', 'right']",right,0.6953675709664822,F,20191031105124,2019_Oct_31_1051,contrast_sensitivity_task,3.2.4,59.90840110079366,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,5,4,start,4,0.13843364674088682,1,90,"['left', 'right']",right,0.6086000199429691,F,20191031105124,2019_Oct_31_1051,contrast_sensitivity_task,3.2.4,59.90840110079366,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,0.82,quantile,lin,3.5,0.01,0.5,0.01,0,1,0,6,5,start,4,0.11096816841978249,,,,,,,,,,,,
