instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,loop_practice.label,loop_practice.startVal,loop_practice.startValSd,loop_practice.stim_diam_degs,loop_practice.SF,loop_practice.TF,loop_practice.pThreshold,loop_practice.stepType,loop_practice.beta,loop_practice.delta,loop_practice.gamma,loop_practice.grain,loop_practice.minVal,loop_practice.maxVal,loop_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisN,loop_practice.direction,loop_practice.stepSize,loop_practice.intensity,loop_practice.response,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,loop_trial.label,loop_trial.startVal,loop_trial.startValSd,loop_trial.stim_diam_degs,loop_trial.SF,loop_trial.TF,loop_trial.pThreshold,loop_trial.stepType,loop_trial.beta,loop_trial.delta,loop_trial.gamma,loop_trial.grain,loop_trial.minVal,loop_trial.maxVal,loop_trial.thisIndex,loop_trial.thisRepN,loop_trial.thisN,loop_trial.direction,loop_trial.stepSize,loop_trial.intensity,loop_trial.response,ori,correctAns,resp,resp.rt,Gender,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,4,3,start,4,0.21917765722672616,1,0,"['up', 'down']",up,0.5814079069532454,F,20191031120035,2019_Oct_31_1200,contrast_sensitivity_task,3.2.4,59.83563934445341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,5,4,start,4,0.1884336467408868,1,0,"['up', 'down']",up,0.4835616610944271,F,20191031120035,2019_Oct_31_1200,contrast_sensitivity_task,3.2.4,59.83563934445341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,6,5,start,4,0.16096816841978248,1,90,"['left', 'right']",right,0.6937759011052549,F,20191031120035,2019_Oct_31_1200,contrast_sensitivity_task,3.2.4,59.83563934445341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,7,6,start,4,0.13587213846235047,1,0,"['up', 'down']",up,0.5827879221178591,F,20191031120035,2019_Oct_31_1200,contrast_sensitivity_task,3.2.4,59.83563934445341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,8,7,start,4,0.11304081402258853,1,0,"['up', 'down']",up,0.5413264380767941,F,20191031120035,2019_Oct_31_1200,contrast_sensitivity_task,3.2.4,59.83563934445341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,9,8,start,4,0.0913380995102597,1,90,"['left', 'right']",right,0.5976823810487986,F,20191031120035,2019_Oct_31_1200,contrast_sensitivity_task,3.2.4,59.83563934445341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,10,9,start,4,0.07094097006961395,1,0,"['up', 'down']",up,0.5947832940146327,F,20191031120035,2019_Oct_31_1200,contrast_sensitivity_task,3.2.4,59.83563934445341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,11,10,start,4,0.05158608121187305,1,0,"['up', 'down']",up,0.5035060299560428,F,20191031120035,2019_Oct_31_1200,contrast_sensitivity_task,3.2.4,59.83563934445341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,12,11,start,4,0.033062999937241044,1,90,"['left', 'right']",right,0.8649958798196167,F,20191031120035,2019_Oct_31_1200,contrast_sensitivity_task,3.2.4,59.83563934445341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,13,12,start,4,0.015203954900492811,1,0,"['up', 'down']",up,0.7796395670156926,F,20191031120035,2019_Oct_31_1200,contrast_sensitivity_task,3.2.4,59.83563934445341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,14,13,start,4,1e-10,1,0,"['up', 'down']",up,0.9537005149759352,F,20191031120035,2019_Oct_31_1200,contrast_sensitivity_task,3.2.4,59.83563934445341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,15,14,start,4,1e-10,1,90,"['left', 'right']",right,0.5529304300434887,F,20191031120035,2019_Oct_31_1200,contrast_sensitivity_task,3.2.4,59.83563934445341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,16,15,start,4,1e-10,0,90,"['left', 'right']",up,0.5909384719561785,F,20191031120035,2019_Oct_31_1200,contrast_sensitivity_task,3.2.4,59.83563934445341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,17,16,start,4,0.04082641190525432,1,0,"['up', 'down']",up,0.612736752955243,F,20191031120035,2019_Oct_31_1200,contrast_sensitivity_task,3.2.4,59.83563934445341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,18,17,start,4,0.029676287379966693,1,0,"['up', 'down']",up,0.5300369739998132,F,20191031120035,2019_Oct_31_1200,contrast_sensitivity_task,3.2.4,59.83563934445341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,19,18,start,4,0.019318001517566574,1,90,"['left', 'right']",right,0.6503282270859927,F,20191031120035,2019_Oct_31_1200,contrast_sensitivity_task,3.2.4,59.83563934445341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,20,19,start,4,0.00960980460443911,1,0,"['up', 'down']",up,0.5658879310358316,F,20191031120035,2019_Oct_31_1200,contrast_sensitivity_task,3.2.4,59.83563934445341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,21,20,start,4,0.0004774152999464376,1,0,"['up', 'down']",up,0.652937748003751,F,20191031120035,2019_Oct_31_1200,contrast_sensitivity_task,3.2.4,59.83563934445341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,22,21,start,4,1e-10,0,0,"['up', 'down']",right,0.5670410299208015,F,20191031120035,2019_Oct_31_1200,contrast_sensitivity_task,3.2.4,59.83563934445341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,23,22,start,4,0.030277346872155886,0,90,"['left', 'right']",up,0.4619597920682281,F,20191031120035,2019_Oct_31_1200,contrast_sensitivity_task,3.2.4,59.83563934445341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,24,23,start,4,0.06503885112647925,1,0,"['up', 'down']",up,0.44065845711156726,F,20191031120035,2019_Oct_31_1200,contrast_sensitivity_task,3.2.4,59.83563934445341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.3,0.2,3.5,1.2,4,0.82,log,3.5,0.01,0.5,0.01,1e-10,1,0,25,24,start,4,0.057329903563552304,,,,,,,,,,,,
